Time,Temperature,Humidity
00:00:07,29.5,81.0
00:00:31,29.5,81.1
00:00:55,29.5,81.2
00:01:19,29.5,81.2
00:01:43,29.5,81.3
00:02:07,29.5,81.3
00:02:31,29.4,81.4
00:02:55,29.5,81.5
00:03:19,29.5,81.5
00:03:43,29.5,81.6
00:04:07,29.5,81.6
00:04:31,29.4,81.7
00:04:55,29.5,81.7
00:05:19,29.4,81.7
00:05:43,29.4,81.8
00:06:07,29.5,81.8
00:06:31,29.5,81.8
00:06:55,29.5,81.8
00:07:19,29.5,81.9
00:07:43,29.5,81.9
00:08:07,29.5,81.9
00:08:31,29.5,82.0
00:08:55,29.5,82.0
00:09:19,29.5,82.1
00:09:43,29.5,82.1
00:10:07,29.5,82.1
00:10:31,29.5,82.2
00:10:55,29.5,82.2
00:11:19,29.5,82.2
00:11:43,29.5,82.3
00:12:07,29.5,82.3
00:12:31,29.5,82.3
00:12:55,29.6,82.2
00:13:19,29.5,82.2
00:13:43,29.5,82.2
00:14:07,29.5,82.3
00:14:31,29.5,82.2
00:14:55,29.5,82.2
00:15:19,29.6,82.2
00:15:43,29.6,82.2
00:16:07,29.6,82.2
00:16:31,29.6,82.2
00:16:55,29.5,82.2
00:17:19,29.6,82.2
00:17:43,29.6,82.2
00:18:07,29.6,82.3
00:18:31,29.6,82.3
00:18:55,29.6,82.3
00:19:19,29.6,82.3
00:19:43,29.6,82.4
00:20:07,29.6,82.3
00:20:31,29.6,82.4
00:20:55,29.6,82.4
00:21:19,29.6,82.4
00:21:43,29.6,82.4
00:22:07,29.6,82.5
00:22:31,29.6,82.4
00:22:55,29.6,82.5
00:23:19,29.6,82.5
00:23:43,29.6,82.5
00:24:07,29.6,82.5
00:24:31,29.6,82.5
00:24:55,29.6,82.5
00:25:19,29.6,82.4
00:25:43,29.6,82.4
00:26:07,29.6,82.4
00:26:31,29.6,82.5
00:26:55,29.6,82.4
00:27:19,29.6,82.5
00:27:43,29.6,82.5
00:28:07,29.6,82.4
00:28:31,29.6,82.5
00:28:55,29.6,82.5
00:29:19,29.6,82.5
00:29:43,29.6,82.5
00:30:07,29.6,82.5
00:30:31,29.6,82.5
00:30:55,29.6,82.5
00:31:19,29.6,82.5
00:31:43,29.6,82.5
00:32:07,29.6,82.5
00:32:31,29.6,82.5
00:32:55,29.6,82.5
00:33:19,29.6,82.5
00:33:43,29.6,82.5
00:34:07,29.6,82.5
00:34:31,29.6,82.5
00:34:55,29.6,82.6
00:35:19,29.6,82.6
00:35:43,29.6,82.5
00:36:07,29.6,82.5
00:36:31,29.6,82.5
00:36:55,29.6,82.5
00:37:19,29.6,82.6
00:37:43,29.6,82.6
00:38:07,29.6,82.6
00:38:31,29.6,82.6
00:38:55,29.6,82.6
00:39:19,29.6,82.6
00:39:43,29.6,82.6
00:40:07,29.6,82.6
00:40:31,29.6,82.6
00:40:55,29.6,82.6
00:41:19,29.6,82.7
00:41:43,29.6,82.6
00:42:07,29.6,82.6
00:42:31,29.6,82.6
00:42:55,29.6,82.7
00:43:19,29.6,82.7
00:43:43,29.6,82.8
00:44:07,29.6,82.8
00:44:31,29.6,82.8
00:44:55,29.6,82.8
00:45:19,29.6,82.9
00:45:43,29.6,82.9
00:46:07,29.6,83.0
00:46:31,29.6,83.0
00:46:55,29.6,83.0
00:47:19,29.6,83.0
00:47:43,29.6,83.0
00:48:28,29.6,83.0
00:48:52,29.6,83.0
00:49:16,29.6,83.0
00:49:40,29.6,83.1
00:50:04,29.6,83.0
00:50:28,29.6,83.0
00:50:52,29.6,83.1
00:51:16,29.6,83.1
00:51:40,29.6,83.1
00:52:04,29.6,83.1
00:52:28,29.6,83.1
00:52:52,29.6,83.1
00:53:16,29.6,83.1
00:53:40,29.6,83.1
00:54:04,29.6,83.1
00:54:28,29.6,83.1
00:54:52,29.6,83.2
00:55:16,29.6,83.2
00:55:40,29.6,83.2
00:56:04,29.6,83.2
00:56:28,29.6,83.2
00:56:52,29.6,83.2
00:57:16,29.7,83.3
00:57:40,29.6,83.3
00:58:04,29.6,83.3
00:58:28,29.6,83.3
00:58:52,29.7,83.3
00:59:16,29.7,83.3
00:59:40,29.6,83.3
01:00:04,29.6,83.3
01:00:28,29.7,83.3
01:00:52,29.7,83.2
01:01:16,29.7,83.3
01:01:40,29.7,83.3
01:02:04,29.7,83.2
01:02:28,29.7,83.2
01:02:52,29.7,83.2
01:03:16,29.7,83.2
01:03:40,29.7,83.2
01:04:04,29.7,83.2
01:04:28,29.7,83.2
01:04:52,29.7,83.2
01:05:16,29.7,83.3
01:05:40,29.7,83.3
01:06:04,29.6,83.3
01:06:28,29.7,83.3
01:06:52,29.7,83.3
01:07:16,29.7,83.3
01:07:40,29.6,83.3
01:08:04,29.7,83.3
01:08:28,29.7,83.3
01:08:52,29.7,83.3
01:09:16,29.7,83.3
01:09:40,29.7,83.3
01:10:04,29.7,83.4
01:10:28,29.7,83.4
01:10:52,29.6,83.5
01:11:16,29.7,83.5
01:11:40,29.6,83.6
01:12:04,29.7,83.7
01:12:28,29.7,83.8
01:12:52,29.6,83.8
01:13:16,29.7,83.9
01:13:40,29.7,84.0
01:14:04,29.7,84.0
01:14:28,29.6,84.1
01:14:52,29.6,84.1
01:15:16,29.7,84.1
01:15:40,29.6,84.1
01:16:04,29.7,84.1
